,freq.,title,author,words,code
192,73,Brood of the Witch-Queen,Sax Rohmer,"['pungent', 'perfume', 'smell', 'scent', 'odour', 'fusty', 'putrid', 'pungency', 'aroma', 'whiff', 'fetid', 'fragrance', 'odorous', 'acrid']",19706
196,42,Micah Clarke,Sir Arthur Conan Doyle,"['ripe', 'scented', 'whiff', 'scent', 'musty', 'odour', 'smell', 'perfume', 'savour', 'reek', 'putrid', 'sniff', 'aromatic', 'stench']",9504
197,57,The Kath?arit S?ra,Somadeva Bhatta,"['musk', 'scented', 'perfume', 'smell', 'ripe', 'fragrance', 'scent', 'reek', 'pungent']",40588
198,46,Corpus of a Siam Mosquito,Steven Sills,"['fetid', 'sniff', 'smell', 'stench', 'musty', 'whiff', 'stink', 'acrid']",5176
199,49,Diana,Susan Warner,"['scent', 'smell', 'musty', 'fragrance', 'perfume', 'ripe', 'ripeness', 'scented', 'acrid', 'whiff', 'odorous', 'savour', 'odour']",29824
200,56,King of the Khyber Rifles,Talbot Mundy,"['stink', 'smell', 'scented', 'musty', 'scent', 'sniff', 'musk', 'whiff', 'stench', 'acrid', 'perfume']",6066
202,43,"The Works of Theophile Gautier, Volume 5",Theophile Gautier,"['scent', 'aromatic', 'odour', 'perfume', 'scented', 'fragrance', 'bouquet', 'odorous', 'ripe']",27724
203,43,The War Chief of the Ottawas,Thomas Guthrie Marquis,['bouquet'],15522
205,47,The Poetical Works of Thomas Hood,Thomas Hood,"['aromatic', 'musk', 'odorous', 'ripe', 'perfume', 'fragrance', 'scented', 'sniff', 'smell', 'whiff', 'bouquet', 'scent', 'waft']",15652
206,89,The Moghul,Thomas Hoover,"['perfume', 'musty', 'smell', 'musk', 'acrid', 'stink', 'bouquet', 'scent', 'fragrance', 'pungent', 'aroma', 'musky', 'ripe', 'scented']",34322
207,45,The Mosaic History of the Creation of the World,Thomas Wood,"['putrid', 'smell', 'fragrance', 'waft', 'fetid', 'stench', 'stink', 'ripe', 'aromatic', 'scent', 'pungent', 'perfume', 'odorous']",44636
212,49,"The Rāmāyana, Volume 2",Valmiki,"['aroma', 'odorous', 'pungent', 'odour', 'ripe', 'perfume', 'smell', 'fragrance', 'scented', 'scent', 'savour']",57826
230,56,The Torrent (Entre Naranjos),Vicente Blasco Ibanez,"['perfume', 'waft', 'smell', 'ripe', 'fragrance', 'odorous', 'bouquet', 'scent', 'sniff', 'acrid', 'scented', 'pungent', 'musty']",11674
231,88,Les Miserables,Victor Hugo,"['scent', 'perfume', 'smell', 'ripe', 'scented', 'fetid', 'bouquet', 'acrid', 'stink', 'putrid']",135
232,97,Complete Prose Works,Walt Whitman,"['perfume', 'bouquet', 'aromatic', 'aroma', 'smell', 'scent', 'pungent', 'odorous', 'ripe', 'scented', 'acrid', 'redolence', 'musty', 'reek', 'ripeness', 'putrid', 'waft', 'fragrance', 'musk', 'pungency']",8813
234,61,Memoirs of a Midget,Walter de la Mare,"['scent', 'stench', 'scented', 'odour', 'fragrance', 'musty', 'ripeness', 'aromatic', 'bouquet', 'sniff', 'smell', 'aroma', 'perfume', 'musky', 'pungent', 'acrid', 'whiff', 'waft', 'fetid', 'savour', 'ripe']",39122
235,46,Uther and Igraine,Warwick Deeping,"['scent', 'sniff', 'scented', 'ripe', 'perfume', 'odour', 'smell', 'savour', 'pungent', 'fragrance', 'musk']",52139
236,41,Fate Knocks at the Door,Will Levington Comfort,"['scented', 'perfume', 'aroma', 'stench', 'fragrance', 'smell', 'scent', 'fetid', 'ripe']",11655
238,54,An Ocean Tragedy,William Clark Russell,"['fragrance', 'scent', 'smell', 'aromatic', 'perfume', 'ripe', 'odour', 'whiff', 'acrid', 'stink', 'aroma', 'stench', 'malodorous', 'pungency']",56363
239,58,"The March Family Trilogy, Complete",William Dean Howells,"['pungent', 'pungency', 'odorous', 'perfume', 'fragrance', 'whiff', 'stench', 'smell', 'reek', 'bouquet', 'musty', 'scented', 'ripe', 'scent', 'waft']",a374
240,43,Eye Spy,William Hamilton Gibson,"['smell', 'acrid', 'bouquet', 'fragrance', 'perfume', 'ripe', 'whiff', 'odorous', 'sniff', 'pungent', 'scent', 'waft']",38954
241,41,The Golden Dog,William Kirby,"['ripe', 'stench', 'pungent', 'bouquet', 'smell', 'fragrance', 'perfume', 'scented', 'fetid', 'acrid', 'scent']",2735
242,62,Tales of Lonely Trails,Zane Grey,"['scent', 'musty', 'smell', 'fragrance', 'odorous', 'scented', 'putrid', 'acrid', 'whiff', 'stink']",12225
243,76,War and Peace,by Leo Tolstoy,"['scented', 'smell', 'scent', 'acrid', 'perfume', 'malodorous', 'whiff', 'pungent', 'stench', 'aromatic', 'bouquet', 'aroma', 'stink', 'reek', 'fragrance', 'ripe']",2600
