
369,46,The Cloister and the Hearth,Charles Reade,"['musty', 'perfume', 'scent', 'scented', 'pungent', 'smell', 'odour', 'fetid', 'stink', 'ripe', 'savour', 'stench', 'reek']",38895
134,75,"The Three Cities Trilogy: Rome, Complete",Emile Zola,"['savour', 'ripe', 'scent', 'bouquet', 'perfume', 'ripeness', 'fragrance', 'aroma', 'pungent', 'odour', 'acrid', 'smell', 'aromatic', 'scented', 'stench', 'musty', 'reek', 'malodorous', 'odorous']",8726
177,66,"The Three Cities Trilogy: Lourdes, Complete",Emile Zola,"['odour', 'ripe', 'acrid', 'malodorous', 'smell', 'perfume', 'scented', 'pungent', 'bouquet', 'savour', 'aroma', 'scent']",8516
19,191,"Three Cities Trilogy, Complete",Émile Zola,"['odour', 'ripe', 'acrid', 'malodorous', 'smell', 'perfume', 'scented', 'pungent', 'bouquet', 'savour', 'aroma', 'scent', 'ripeness', 'fragrance', 'aromatic', 'stench', 'musty', 'reek', 'odorous', 'fetid']",9170
284,51,Contemporary Belgian Poetry,Various,"['reek', 'savour', 'odour', 'ripe', 'scented', 'scent', 'fragrance', 'perfume', 'odorous', 'smell', 'aroma', 'bouquet', 'stink', 'fetid', 'waft', 'acrid', 'putrid']",35524
290,51,The Song of Songs,Hermann Sudermann,"['ripe', 'perfume', 'smell', 'musty', 'odour', 'fragrance', 'aroma', 'bouquet', 'scent', 'pungent', 'reek', 'fusty', 'whiff']",34361
413,44,The Country Beyond,James Oliver Curwood,"['scent', 'smell', 'aroma', 'perfume', 'ripe', 'musky', 'fragrance', 'sniff', 'musty', 'musk', 'scented']",4743
331,48,"Baree, Son of Kazan",James Oliver Curwood,"['smell', 'scent', 'sniff', 'perfume', 'whiff', 'aroma', 'scented']",53929
466,42,The Personal History of David Copperfield,Charles Dickens,"['whiff', 'smell', 'fusty', 'odour', 'ripe', 'perfume', 'musty', 'scent', 'fragrance', 'bouquet', 'scented', 'sniff', 'aromatic']",43111
2,52,Lad: A Dog,Albert Payson Terhune,"['scent', 'smell', 'fragrance', 'reek', 'scented', 'malodorous', 'sniff', 'perfume', 'pungent']",38777
3,45,The Heart of a Dog,Albert Payson Terhune,"['scent', 'sniff', 'odour', 'smell', 'whiff', 'reek', 'scented', 'pungent', 'musty']",61429
7,45,The Bright Messenger,Algernon Blackwood,"['perfume', 'scent', 'smell', 'whiff', 'ripe', 'fragrance', 'scented']",43594
8,47,The Extra Day,Algernon Blackwood,"['smell', 'odour', 'perfume', 'scent', 'scented', 'fragrance', 'sniff']",5894
9,61,The Wolves of God,Algernon Blackwood and Wilfred Wilson,"['smell', 'scented', 'pungent', 'aroma', 'perfume', 'odour', 'sniff', 'scent', 'acrid', 'fetid', 'whiff', 'savour', 'waft']",38310
10,61,Poems & Ballads (First Series),Algernon Charles Swinburne,"['savour', 'ripeness', 'scented', 'scent', 'perfume', 'smell', 'ripe', 'odour', 'reek', 'pungent']",35402
15,43,"The Dwelling Place of Light, Complete",American Novelist,"['perfume', 'smell', 'odour', 'pungent', 'scent', 'savour', 'fragrance', 'reek', 'malodorous']",3649
16,42,"The Arabian Nights Entertainments, Complete",Anonomous,"['smell', 'scent', 'musk', 'perfume', 'scented', 'ripe', 'stench', 'pungent', 'odour']",5668
18,42,The Chorus Girl and Other Stories,Anton Chekhov,"['scent', 'stench', 'bouquet', 'fragrance', 'smell', 'putrid', 'musty', 'ripe', 'stink', 'sniff']",13418
19,45,The Cook's Wedding and Other Stories,Anton Chekhov,"['scented', 'whiff', 'smell', 'stench', 'sniff', 'scent', 'fragrance']",13417
31,103,"Hung Lou Meng, Book II",Cao Xueqin,"['scented', 'scent', 'whiff', 'smell', 'fragrance', 'ripe', 'perfume', 'bouquet', 'aroma', 'stench', 'acrid', 'sniff', 'pungent', 'musk']",9604
35,45,Little Dorrit,Charles Dickens,"['smell', 'odorous', 'musty', 'fusty', 'scent', 'ripe', 'whiff', 'scented', 'odour', 'sniff', 'aromatic', 'fragrance']",963
36,40,Mugby Junction,Charles Dickens,"['smell', 'whiff', 'sniff']",27924
37,43,The Uncommercial Traveller,Charles Dickens,"['smell', 'stench', 'odour', 'musty', 'fragrance', 'whiff', 'scent', 'perfume', 'sniff', 'ripe', 'reek', 'scented']",914
42,42,Carnival,Compton Mackenzie,"['bouquet', 'fusty', 'smell', 'perfume', 'ripe', 'scent', 'sniff', 'scented', 'odorous', 'musty', 'pungency', 'aromatic']",33012
43,55,"Sinister Street, vol. 2",Compton Mackenzie,"['scented', 'bouquet', 'ripe', 'smell', 'scent', 'aroma', 'musty', 'pungent', 'fetid', 'reek', 'fusty', 'perfume', 'acrid', 'frowsty', 'odorous', 'musk']",33798
47,53,"Someone Comes to Town, Someone Leaves Town",Cory Doctorow,"['reek', 'smell', 'whiff', 'acrid', 'aromatic', 'scented', 'scent', 'stink']",18224
50,41,The Claw,Cynthia Stockley,"['pungent', 'odour', 'scent', 'aromatic', 'smell', 'aroma', 'ripe', 'acrid', 'perfume', 'fragrance']",37257
53,58,Sons and Lovers,David Herbert Lawrence,"['scent', 'sniff', 'perfume', 'smell', 'ripe', 'scented', 'odour', 'ripeness', 'fragrance', 'whiff', 'waft']",217
59,45,Jungle Tales of Tarzan,Edgar Rice Burroughs,"['scent', 'acrid', 'pungent', 'smell', 'stench', 'putrid', 'sniff', 'scented', 'ripe']",106
61,42,The Son of Tarzan,Edgar Rice Burroughs,"['smell', 'musty', 'scent', 'sniff', 'aroma', 'acrid', 'scented', 'stench', 'putrid']",90
67,47,The Battle Ground,Ellen Glasgow,"['sniff', 'ripe', 'perfume', 'smell', 'fragrance', 'scented', 'scent', 'odour', 'aroma', 'musk']",6872
68,49,The Deliverance,Ellen Glasgow,"['smell', 'fragrance', 'scented', 'scent', 'ripe', 'sniff', 'odour', 'pungent', 'perfume', 'aroma', 'fetid']",2384
70,54,The Voice of the People,Ellen Glasgow,"['odorous', 'perfume', 'scent', 'musty', 'musk', 'odour', 'ripe', 'acrid', 'pungent', 'smell', 'aroma', 'ripeness', 'fragrance', 'reek', 'waft', 'savour', 'scented']",16505
77,66,"The Three Cities Trilogy: Lourdes, Complete",Emile Zola,"['odour', 'ripe', 'acrid', 'malodorous', 'smell', 'perfume', 'scented', 'pungent', 'bouquet', 'savour', 'aroma', 'scent']",8516
78,75,"The Three Cities Trilogy: Rome, Complete",Emile Zola,"['savour', 'ripe', 'scent', 'bouquet', 'perfume', 'ripeness', 'fragrance', 'aroma', 'pungent', 'odour', 'acrid', 'smell', 'aromatic', 'scented', 'stench', 'musty', 'reek', 'malodorous', 'odorous']",8726
75,42,The Dream,Emile Zola,"['perfume', 'odour', 'bouquet', 'smell', 'ripe', 'fragrance', 'musk']",9499
74,78,Nana and Other Stories,Emile Zola,"['scent', 'bouquet', 'musty', 'smell', 'perfume', 'pungent', 'ripe', 'sniff', 'whiff', 'reek', 'musky', 'pungency', 'musk', 'fetid', 'scented', 'acrid']",1069
73,56,L'Assommoir,Emile Zola,"['stench', 'smell', 'odorous', 'aroma', 'fetid', 'scent', 'whiff', 'bouquet', 'perfume', 'reek', 'scented', 'musk', 'sniff']",8600
72,73,His Masterpiece,Emile Zola,"['bouquet', 'scent', 'fragrance', 'whiff', 'stench', 'odour', 'musk', 'smell', 'musty', 'pungent', 'aromatic', 'perfume', 'scented', 'aroma', 'ripe', 'reek', 'sniff', 'waft', 'acrid']",15900
71,44,A Love Episode,Emile Zola,"['smell', 'perfume', 'sniff', 'fragrance', 'scented', 'scent', 'musk', 'bouquet', 'ripe', 'aroma']",13695
80,44,Animal Heroes,Ernest Thompson Seton,"['smell', 'stench', 'musky', 'odorous', 'ripe', 'scent', 'whiff', 'fetid', 'sniff']",2284
82,41,Rolf In The Woods,Ernest Thompson Seton,"['odour', 'smell', 'scent', 'musky', 'fragrance', 'whiff', 'ripe', 'odorous', 'sniff', 'aromatic', 'aroma', 'ripeness']",1088
86,46,The Vertical City,Fannie Hurst,"['scent', 'scented', 'sniff', 'perfume', 'smell', 'aroma', 'fragrance', 'bouquet', 'stink', 'stench', 'pungent', 'pungency', 'whiff', 'fetid']",12659
88,49,In the Guardianship of God,Flora Annie Steel,"['perfume', 'scented', 'bouquet', 'aromatic', 'musk', 'whiff', 'scent', 'fragrance', 'smell']",39795
91,52,McTeague,Frank Norris,"['acrid', 'smell', 'odorous', 'perfume', 'scented', 'aroma', 'reek', 'bouquet', 'pungent', 'piney', 'sniff', 'aromatic']",165
93,73,Vandover and the Brute,Frank Norris,"['smell', 'bouquet', 'whiff', 'musk', 'scent', 'perfume', 'odorous', 'savour', 'odour', 'ripe', 'reek', 'acrid', 'stench', 'fragrance', 'aromatic']",14712
101,47,Robert Falconer,George MacDonald,"['smell', 'ripe', 'musty', 'odour', 'scent', 'waft', 'fragrance', 'aroma', 'savour', 'odorous', 'musk', 'pungent', 'fetid', 'scented', 'stench', 'stink']",2561
103,42,"Sandra Belloni, Complete",George Meredith,"['bouquet', 'scented', 'sniff', 'ripeness', 'scent', 'smell', 'whiff', 'pungent', 'ripe', 'acrid', 'savour', 'musty', 'perfume', 'stench']",4420
102,46,"One of Our Conquerors, Complete",George Meredith,"['reek', 'aromatic', 'aroma', 'ripe', 'scent', 'sniff', 'bouquet', 'smell', 'stench', 'pungent', 'whiff', 'savour', 'odour', 'ripeness', 'perfume']",4476
110,42,"The Works of Guy de Maupassant, Volume II (of 8)",Guy de Maupassant,"['smell', 'perfume', 'aroma', 'ripe', 'bouquet', 'malodorous', 'scent', 'sniff', 'whiff', 'pungent', 'scented', 'ripeness']",17375
114,50,What the Moon Saw: and Other Tales,Hans Christian Andersen,"['scent', 'scented', 'fragrance', 'ripe', 'smell', 'musty', 'odour', 'waft', 'perfume']",27000
122,51,The Undying Past,Hermann Sudermann,"['scent', 'perfume', 'scented', 'ripe', 'odour', 'pungent', 'bouquet', 'ripeness', 'fragrance', 'smell']",34156
