,freq.,title,author,words,code
7,71,The Death of the Gods,Dmitri Mérejkowski,"['odorous', 'odour', 'acrid', 'smell', 'perfume', 'aroma', 'fetid', 'scented', 'fusty', 'ripe', 'putrid', 'fragrance', 'musty', 'aromatic', 'stink', 'scent']",46492
48,71,From Sea to Sea,Rudyard Kipling,"['smell', 'musk', 'reek', 'stench', 'whiff', 'fetid', 'pungent', 'stink', 'scent', 'aroma', 'ripe', 'acrid', 'odour', 'sniff', 'savour', 'fragrance', 'putrid']",32977
49,70,"Wisdom, Wit, and Pathos of Ouida",Ouida,"['fragrance', 'scent', 'odour', 'perfume', 'aromatic', 'odorous', 'acrid', 'smell', 'reek', 'ripe', 'stench', 'putrid', 'whiff', 'pungent', 'scented', 'fetid']",22019
50,69,Five Tales,John Galsworthy,"['scent', 'reek', 'waft', 'perfume', 'scented', 'smell', 'sniff', 'bouquet', 'whiff', 'savour', 'ripe', 'odour', 'fragrance', 'aromatic']",2684
51,69,Nomads of the North,James Oliver Curwood,"['smell', 'scent', 'aroma', 'pungency', 'odour', 'whiff', 'sniff', 'perfume', 'ripe', 'acrid', 'pungent', 'scented']",4704
52,69,Deadly Adulteration and Slow Poisoning Unmasked,Anonymous,"['bouquet', 'pungent', 'pungency', 'ripe', 'scent', 'smell', 'odour', 'aromatic', 'scented', 'musty', 'fragrance', 'acrid', 'fetid']",52434
53,68,Jinny the Carrier,Israel Zangwill,"['sniff', 'odorous', 'musty', 'savour', 'smell', 'waft', 'fusty', 'scent', 'aromatic', 'pungent', 'fragrance', 'acrid', 'whiff', 'aroma', 'reek', 'ripe', 'bouquet', 'scented', 'odour', 'stench', 'putrid', 'malodorous']",57836
54,67,A Portrait of the Artist as a Young Man,James Joyce,"['smell', 'stink', 'odour', 'aromatic', 'ripe', 'pungent', 'savour', 'stench', 'putrid', 'fetid', 'fragrance', 'perfume', 'odorous']",4217
55,67,The Rush for the Spoil,Émile Zola,"['fragrance', 'bouquet', 'perfume', 'smell', 'odour', 'ripe', 'acrid', 'aroma', 'scent', 'sniff', 'savour', 'scented', 'musk', 'pungent', 'musky']",56590
56,67,The History of Sir Richard Calmady,Lucas Malet,"['ripe', 'scent', 'fragrance', 'savour', 'fusty', 'musky', 'pungent', 'odour', 'smell', 'bouquet', 'scented', 'malodorous', 'aromatic', 'aroma', 'stench']",23784
57,67,"The Wandering Jew, Complete",Eugene Sue,"['reek', 'scent', 'scented', 'perfume', 'ripe', 'putrid', 'stench', 'smell', 'odorous', 'aromatic', 'bouquet']",3350
58,66,God's Good Man,Marie Corelli,"['odour', 'scent', 'pungent', 'savour', 'fragrance', 'smell', 'scented', 'odorous', 'perfume', 'bouquet', 'sniff', 'fusty', 'aroma', 'waft', 'ripe', 'whiff']",4653
59,66,"The Thousand and One Nights, Vol. I.",Anonymous,"['musk', 'smell', 'perfume', 'scented', 'odour', 'ripe', 'fragrance', 'pungency', 'scent', 'savour', 'fetid', 'putrid']",34206
60,66,Poppy,Cynthia Stockley,"['pungent', 'odour', 'smell', 'perfume', 'scent', 'musk', 'ripe', 'fragrance', 'aroma', 'savour', 'sniff', 'acrid']",36138
61,66,Dusty Star,Olaf Baker,"['smell', 'scent', 'sniff', 'whiff', 'musk', 'ripe', 'musky', 'odour', 'scented']",32106
62,66,"The Three Cities Trilogy: Lourdes, Complete",Emile Zola,"['odour', 'ripe', 'acrid', 'malodorous', 'smell', 'perfume', 'scented', 'pungent', 'bouquet', 'savour', 'aroma', 'scent']",8516
63,65,"Indian Summer of a Forsyte, and In Chancery",John Galsworthy,"['scent', 'bouquet', 'perfume', 'fragrance', 'odour', 'ripe', 'aromatic', 'smell', 'savour', 'musk', 'sniff', 'scented', 'musty', 'fusty', 'whiff', 'stink', 'acrid', 'aroma', 'reek']",2594
64,65,"The Works of Rudyard Kipling, One Volume Edition",Rudyard Kipling,"['fragrance', 'smell', 'ripe', 'scent', 'fetid', 'musk', 'reek', 'savour', 'stench', 'musky', 'bouquet', 'pungent', 'scented', 'musty', 'acrid']",2334
65,65,The Gastronomic Regenerator:,Alexis Soyer,"['bouquet', 'ripe', 'musty', 'aroma', 'smell', 'fragrance', 'fetid', 'perfume', 'odorous']",47444
