,freq.,title,author,words,code
5,342,The Field and Garden Vegetables of America,Fearing Burr,"['ripe', 'pungency', 'pungent', 'musky', 'musk', 'smell', 'bouquet', 'aromatic', 'acrid', 'fragrance', 'aroma', 'putrid', 'scented']",21682
7,320,The Complete Herbal,Nicholas Culpeper,"['ripe', 'scent', 'smell', 'savour', 'putrid', 'aromatic', 'stench', 'musk', 'musty', 'perfume', 'scented']",49513
9,272,British Pomology,Robert Hogg,"['aromatic', 'ripe', 'perfume', 'scent', 'scented', 'aroma', 'smell', 'musky', 'fragrance', 'pungency', 'musk']",47367
16,216,Old-Time Gardens,Alice Morse Earle,"['smell', 'perfume', 'scent', 'fragrance', 'aroma', 'savour', 'scented', 'aromatic', 'musk', 'pungent', 'ripe', 'bouquet', 'sniff', 'musty', 'whiff', 'waft']",39049
17,212,"The Botanist's Companion, Vol. 2",William Salisbury,"['acrid', 'scent', 'ripe', 'pungent', 'aromatic', 'smell', 'odorous', 'odour', 'pungency', 'putrid', 'fetid', 'fragrance', 'aroma', 'musty', 'musk', 'ripeness']",12363
18,192,Botany for Ladies,Jane Loudon,"['ripe', 'acrid', 'perfume', 'fragrance', 'smell', 'aromatic', 'ripeness', 'putrid', 'pungent', 'scent', 'waft', 'odour']",47039
14,240,European Fungus Flora: Agaricaceae,George Massee,"['smell', 'scented', 'acrid', 'pungent', 'ripe']",33013
21,181,The Manual of the Botany of the Northern United States,Asa Gray,"['aromatic', 'acrid', 'ripe', 'pungent', 'fragrance', 'fetid', 'musk', 'musky', 'scented', 'odorous', 'smell', 'scent', 'aroma']",39423
22,172,Wild Flowers,Neltje Blanchan,"['fetid', 'scent', 'scented', 'fragrance', 'odorous', 'perfume', 'ripeness', 'ripe', 'aromatic', 'pungent', 'aroma', 'bouquet', 'acrid', 'musk', 'smell', 'malodorous', 'waft', 'whiff', 'putrid', 'musty', 'stench']",3003
35,131,Wood and Garden,Gertrude Jekyll,"['scent', 'smell', 'pungent', 'scented', 'fragrance', 'bouquet', 'whiff', 'perfume', 'ripe', 'waft', 'aromatic', 'pungency', 'odour', 'ripeness']",36279
37,129,The Nursery Book,Liberty Hyde Bailey,"['ripe', 'musk', 'piney']",47955
48,110,Camp Life in the Woods and the Tricks of Trapping,Gibson,"['scent', 'musk', 'fetid', 'acrid', 'smell', 'scented', 'musky', 'fragrance', 'stench', 'pungent', 'aromatic', 'ripe', 'putrid']",17093
61,99,Hardy Perennials and Old Fashioned Flowers,John Wood,"['smell', 'odour', 'bouquet', 'scent', 'perfume', 'scented', 'fragrance', 'ripe', 'aromatic', 'ripeness', 'acrid']",18913
72,92,American Flower Garden Directory,Thomas Hibbert and Robert Buist,"['musty', 'smell', 'ripe', 'odour', 'scent', 'fragrance', 'scented', 'musk', 'aromatic', 'odorous', 'pungent']",42825
94,84,A treatise on the esculent funguses of England,Charles David Badham,"['smell', 'odour', 'stench', 'putrid', 'musty', 'acrid', 'fetid', 'perfume', 'fragrance', 'ripe', 'aroma', 'pungent', 'bouquet', 'scent', 'musk']",58853
99,82,Wayside and Woodland Blossoms,Edward Step,"['ripe', 'perfume', 'bouquet', 'fragrance', 'odour', 'musky', 'musk', 'smell', 'aromatic', 'acrid', 'pungent', 'odorous', 'scent', 'stench']",59035
103,82,Ginseng and Other Medicinal Plants,Arthur Robert Harding,"['ripe', 'aromatic', 'musty', 'scent', 'acrid', 'pungent', 'fetid', 'pungency', 'perfume', 'fragrance']",34570
111,79,"The Canadian Horticulturist, Volume I",Various,"['ripe', 'aromatic', 'fragrance', 'aroma', 'scented', 'scent', 'perfume', 'smell', 'bouquet', 'odorous', 'musky']",56616
121,77,The Charm of Gardens,Dion Clayton Calthrop,"['scent', 'smell', 'musty', 'ripe', 'scented', 'fragrance', 'perfume', 'stink', 'musk', 'aromatic', 'musky', 'odour', 'savour', 'sniff']",54641
122,77,Trees Every Child Should Know,Julia Ellen Rogers,"['ripe', 'smell', 'pungent', 'odour', 'fragrance', 'aromatic', 'ripeness', 'perfume', 'scented']",44186
138,73,Fungi: Their Nature and Uses,Mordecai Cubitt Cooke,"['odour', 'ripeness', 'ripe', 'aroma', 'pungent', 'acrid', 'smell', 'pungency', 'fetid', 'sniff', 'scent', 'putrid', 'perfume']",30181
181,65,Identification of the Larger Fungi,Roy Watling,"['odour', 'smell', 'aromatic', 'pungent', 'musty', 'ripe', 'sniff', 'scented']",60159
228,57,A Year in a Lancashire Garden,Henry Arthur Bright,"['scent', 'odour', 'smell', 'aromatic', 'ripe', 'perfume', 'fragrance', 'musk', 'whiff', 'aroma', 'scented', 'odorous']",39673
232,57,Wild Flowers Worth Knowing,Neltje Blanchan,"['fetid', 'acrid', 'malodorous', 'putrid', 'stench', 'odorous', 'fragrance', 'aromatic', 'perfume', 'smell', 'scented', 'ripe', 'ripeness', 'pungent', 'bouquet', 'scent', 'whiff']",8866
278,52,A Year in the Fields,John Burroughs,"['smell', 'fragrance', 'pungent', 'perfume', 'scent', 'ripe', 'scented', 'bouquet', 'pungency', 'putrid', 'odorous', 'stench']",31292
292,51,Trees and Shrubs for English Gardens,Ernest Thomas Cook,"['fragrance', 'aromatic', 'ripe', 'scented', 'perfume', 'odour', 'scent', 'whiff', 'musk', 'pungent', 'odorous', 'smell']",32969
298,50,The Mountains of California,John Muir,"['fragrance', 'smell', 'ripe', 'pungent', 'aromatic', 'perfume', 'aroma', 'scent']",10012
0,641,"A Dictionary of Arts, Manufactures and Mines",Andrew Ure,"['aroma', 'smell', 'odour', 'aromatic', 'acrid', 'scent', 'pungent', 'odorous', 'fetid', 'putrid', 'perfume', 'musk', 'ripe', 'ripeness', 'fragrance', 'scented', 'bouquet', 'piney', 'stink', 'pungency', 'waft']",44562
