,Unnamed: 0,freq.,title,author,words,code,sentence_count,density
0,0,41,Withered Leaves from Memory's Garland,Abigail Stanley Hanna,"['fragrance', 'ripe', 'scented', 'perfume', 'waft']",11599,3118,0.013149454778704297
1,1,61,Buff: A Collie and other dog-stories,Albert Payson Terhune,"['scent', 'whiff', 'odour', 'musty', 'smell', 'reek', 'sniff', 'pungent', 'malodorous']",42804,5080,0.012007874015748031
2,2,42,The Wolf-Leader,Alexandre Dumas,"['scent', 'smell', 'scented', 'bouquet', 'perfume', 'aromatic', 'aroma', 'odorous', 'odour']",51054,2883,0.014568158168574402
3,3,55,Collected Poems,Alfred Noyes,"['scent', 'scented', 'odour', 'perfume', 'savour', 'smell', 'musk', 'odorous', 'fragrance', 'ripe', 'pungent', 'waft']",30501,3208,0.017144638403990026
4,4,43,A Prisoner in Fairyland,Algernon Blackwood,"['fragrance', 'perfume', 'scented', 'scent', 'whiff', 'odour', 'sniff', 'smell', 'aroma', 'odorous', 'ripe', 'bouquet']",6021,9460,0.004545454545454545
5,5,47,Juggernaut,Alice Campbell,"['perfume', 'scented', 'scent', 'fragrance', 'savour', 'odour', 'smell', 'pungent', 'acrid', 'stench']",27824,8285,0.005672902836451418
6,6,43,Letters from my Windmill,Alphonse Daudet,"['scent', 'smell', 'aromatic', 'scented', 'ripe', 'perfume', 'whiff', 'bouquet', 'stench', 'pungent', 'aroma', 'sniff']",30442,2791,0.015406664278036546
7,7,41,The Book of Khalid,Ameen Rihani,"['reek', 'perfume', 'fragrance', 'stench', 'smell', 'musty', 'aroma', 'scented', 'scent', 'malodorous', 'pungent', 'aromatic', 'odour', 'odorous', 'musk']",29257,4930,0.008316430020283976
8,8,87,Shadows of Flames,Amelie Rives,"['odour', 'smell', 'perfume', 'waft', 'scent', 'fragrance', 'stink', 'acrid', 'musty', 'pungent', 'whiff', 'sniff', 'savour', 'scented', 'ripe', 'reek', 'aroma', 'musky']",33234,18337,0.00474450564432568
9,9,66,"The Thousand and One Nights, Vol. I.",Anonymous,"['musk', 'smell', 'perfume', 'scented', 'odour', 'ripe', 'fragrance', 'pungency', 'scent', 'savour', 'fetid', 'putrid']",34206,8332,0.007921267402784446
10,10,389,The PG Compilation of Short Stories of Chekhov,Anton Chekov,"['smell', 'scent', 'stench', 'acrid', 'sniff', 'reek', 'perfume', 'ripe', 'stink', 'musk', 'fragrance', 'savour', 'pungent', 'scented', 'odour', 'whiff', 'musty', 'bouquet', 'putrid']",57333,66056,0.005888942715271891
11,11,56,Paul the Minstrel and Other Stories,Arthur Christopher Benson,"['scent', 'smell', 'fragrance', 'waft', 'savour', 'aromatic', 'fetid', 'whiff', 'odour', 'pungent']",21536,3937,0.014224028448056897
12,12,47,The Drama of the Forests,Arthur Heming,"['perfume', 'scent', 'aroma', 'smell', 'stench', 'whiff', 'pungent', 'scented']",18495,4605,0.01020629750271444
13,13,72,The Hill of Dreams,Arthur Machen,"['smell', 'odour', 'scented', 'ripe', 'acrid', 'putrid', 'savour', 'stench', 'scent', 'perfume', 'aromatic', 'pungent', 'aroma', 'fetid', 'musty', 'reek']",13969,2477,0.029067420266451354
14,14,59,At the Mercy of Tiberius,Augusta Evans Wilson,"['perfume', 'scented', 'fragrance', 'bouquet', 'smell', 'odorous', 'aroma', 'ripe', 'scent', 'pungent', 'acrid', 'aromatic', 'fetid', 'musty', 'waft', 'piney']",4209,8040,0.0073383084577114425
